ID,Campaign,Age,Age_Group,Education,Marital_Status,Income,Total_Spent,Response,Recency,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,NumDealsPurchases,Kidhome,Teenhome,Conversion_Status,Spending_Category,Income_Segment
5524,Campaign_A,67,Senior,Graduation,Single,58138.0,1617,1,58,8,10,4,7,3,0,0,Converted,High,Medium
2174,Campaign_B,70,Senior,Graduation,Single,46344.0,27,0,38,1,1,2,5,2,1,1,Not Converted,Very Low,Medium
4141,Campaign_A,59,Senior,Graduation,Partner,71613.0,776,0,26,8,2,10,4,1,0,0,Not Converted,Medium,High
6182,Campaign_A,40,Middle-Aged,Graduation,Partner,26646.0,53,0,26,2,0,4,6,2,1,0,Not Converted,Very Low,Low
5324,Campaign_A,43,Middle-Aged,PhD,Partner,58293.0,422,0,94,5,3,6,5,5,1,0,Not Converted,Low,Medium
7446,Campaign_B,57,Senior,Master,Partner,62513.0,716,0,16,6,4,10,6,2,0,1,Not Converted,Medium,High
965,Campaign_A,53,Middle-Aged,Graduation,Single,55635.0,590,0,34,7,3,7,6,4,0,1,Not Converted,Medium,Medium
6177,Campaign_A,39,Middle-Aged,PhD,Partner,33454.0,169,0,32,4,0,4,8,2,1,0,Not Converted,Low,Medium
4855,Campaign_A,50,Middle-Aged,PhD,Partner,30351.0,46,1,19,3,0,2,9,1,1,0,Converted,Very Low,Medium
5899,Campaign_B,74,Senior,PhD,Partner,5648.0,49,0,68,1,0,0,20,1,1,1,Not Converted,Very Low,Low
1994,Campaign_A,41,Middle-Aged,Graduation,Partner,52247.25135379061,19,0,11,1,0,2,7,1,1,0,Not Converted,Very Low,Medium
387,Campaign_A,48,Middle-Aged,Basic,Partner,7500.0,61,0,59,2,0,3,8,1,0,0,Not Converted,Very Low,Low
2125,Campaign_A,65,Senior,Graduation,Single,63033.0,1102,0,82,3,4,8,2,1,0,0,Not Converted,High,High
8180,Campaign_A,72,Senior,Master,Single,59354.0,310,0,53,6,1,5,6,3,1,1,Not Converted,Low,Medium
2569,Campaign_B,37,Middle-Aged,Graduation,Partner,17323.0,46,0,38,1,0,3,8,1,0,0,Not Converted,Very Low,Low
2114,Campaign_A,78,Senior,PhD,Single,82800.0,1315,1,23,7,6,12,3,1,0,0,Converted,High,High
9736,Campaign_B,44,Middle-Aged,Graduation,Partner,41850.0,96,0,51,3,0,3,8,3,1,1,Not Converted,Very Low,Medium
4939,Campaign_B,78,Senior,Graduation,Partner,37760.0,317,0,20,4,1,6,7,2,0,0,Not Converted,Low,Medium
6565,Campaign_B,75,Senior,Master,Partner,76995.0,1782,0,91,11,4,9,5,2,0,1,Not Converted,High,High
2278,Campaign_A,39,Middle-Aged,2n Cycle,Single,33812.0,133,0,86,2,1,3,6,2,1,0,Not Converted,Low,Medium
9360,Campaign_B,42,Middle-Aged,Graduation,Partner,37040.0,316,0,41,4,2,5,8,1,0,0,Not Converted,Low,Medium
5376,Campaign_A,45,Middle-Aged,Graduation,Partner,2447.0,1730,0,42,0,28,0,1,15,1,0,Not Converted,High,Low
1993,Campaign_B,75,Senior,PhD,Partner,58607.0,972,0,63,2,3,9,8,3,0,1,Not Converted,Medium,Medium
4047,Campaign_B,70,Senior,PhD,Partner,65324.0,544,0,0,6,2,9,4,3,0,1,Not Converted,Medium,High
1409,Campaign_B,73,Senior,Graduation,Partner,40689.0,444,0,69,7,1,5,8,7,0,1,Not Converted,Low,Medium
7892,Campaign_B,55,Middle-Aged,Graduation,Single,18589.0,75,0,89,2,1,3,7,2,0,0,Not Converted,Very Low,Low
2404,Campaign_B,48,Middle-Aged,Graduation,Partner,53359.0,257,0,4,5,1,4,7,4,1,1,Not Converted,Low,Medium
5255,Campaign_B,38,Middle-Aged,Graduation,Single,52247.25135379061,637,0,19,27,0,0,1,0,1,0,Not Converted,Medium,Medium
9422,Campaign_B,35,Young,Graduation,Partner,38360.0,131,0,26,2,1,4,3,2,1,0,Not Converted,Low,Medium
1966,Campaign_B,59,Senior,PhD,Partner,84618.0,1672,0,96,6,9,10,2,1,0,0,Not Converted,High,High
6864,Campaign_A,35,Young,Master,Single,10979.0,30,0,34,3,0,3,5,2,0,0,Not Converted,Very Low,Low
3033,Campaign_A,61,Senior,Master,Partner,38620.0,318,0,56,2,5,3,3,1,0,0,Not Converted,Low,Medium
5710,Campaign_B,54,Middle-Aged,Graduation,Partner,40548.0,120,0,31,2,1,4,5,2,0,1,Not Converted,Low,Medium
7373,Campaign_B,72,Senior,PhD,Single,46610.0,302,1,8,4,1,6,6,6,0,2,Converted,Low,Medium
8755,Campaign_B,78,Senior,Master,Partner,68657.0,1196,0,4,3,5,9,7,1,0,0,Not Converted,High,High
10738,Campaign_A,73,Senior,Master,Single,49389.0,65,0,55,2,0,3,7,1,1,1,Not Converted,Very Low,Medium
4339,Campaign_B,54,Middle-Aged,PhD,Partner,67353.0,913,0,37,5,6,12,2,5,0,1,Not Converted,Medium,High
10755,Campaign_A,48,Middle-Aged,2n Cycle,Partner,23718.0,81,0,76,3,1,2,7,3,1,0,Not Converted,Very Low,Low
8595,Campaign_A,51,Middle-Aged,Graduation,Single,42429.0,67,0,99,1,1,3,5,2,0,1,Not Converted,Very Low,Medium
2968,Campaign_A,81,Senior,PhD,Single,48948.0,902,1,53,7,10,5,6,2,0,0,Converted,Medium,Medium
8601,Campaign_A,44,Middle-Aged,Graduation,Partner,80011.0,1395,0,3,8,6,5,4,2,0,1,Not Converted,High,High
503,Campaign_A,39,Middle-Aged,Master,Partner,20559.0,53,0,88,2,0,3,8,2,1,0,Not Converted,Very Low,Low
8430,Campaign_B,67,Senior,Graduation,Partner,21994.0,22,0,4,0,0,3,5,1,0,1,Not Converted,Very Low,Low
7281,Campaign_B,65,Senior,PhD,Single,52247.25135379061,186,0,80,1,3,4,2,1,0,0,Not Converted,Low,Medium
2139,Campaign_B,49,Middle-Aged,Master,Partner,7500.0,31,0,19,2,0,3,5,3,1,0,Not Converted,Very Low,Low
1371,Campaign_B,48,Middle-Aged,Graduation,Single,79941.0,984,0,72,2,4,9,1,1,0,0,Not Converted,Medium,High
9909,Campaign_B,28,Young,2n Cycle,Partner,7500.0,122,1,24,3,1,3,9,3,0,0,Converted,Low,Low
7286,Campaign_A,56,Senior,Graduation,Partner,41728.0,55,0,92,2,0,2,10,1,1,0,Not Converted,Very Low,Medium
7244,Campaign_B,73,Senior,Graduation,Single,52247.25135379061,124,0,96,2,1,4,6,3,2,1,Not Converted,Low,Medium
6566,Campaign_B,70,Senior,PhD,Partner,72550.0,1319,0,39,5,2,12,8,9,1,1,Not Converted,High,High
8614,Campaign_A,67,Senior,Graduation,Single,65486.0,507,0,29,4,2,10,2,1,0,1,Not Converted,Medium,High
4114,Campaign_B,60,Senior,Master,Partner,79143.0,1693,0,2,6,9,13,3,1,0,0,Not Converted,High,High
1331,Campaign_A,47,Middle-Aged,Graduation,Single,35790.0,72,0,54,2,0,3,7,2,1,0,Not Converted,Very Low,Medium
2225,Campaign_B,47,Middle-Aged,Graduation,Single,82582.0,1617,1,54,4,9,7,1,1,0,0,Converted,High,High
9381,Campaign_A,46,Middle-Aged,Graduation,Partner,66373.0,606,0,57,4,2,10,3,7,1,1,Not Converted,Medium,High
6260,Campaign_B,69,Senior,Master,Partner,82384.0,1957,1,55,3,10,13,1,1,0,0,Converted,High,High
10383,Campaign_B,58,Senior,Graduation,Single,70287.0,1093,1,30,5,5,10,3,1,0,0,Converted,High,High
7437,Campaign_A,36,Middle-Aged,Graduation,Single,27938.0,29,0,31,1,0,4,3,1,1,0,Not Converted,Very Low,Low
8557,Campaign_A,42,Middle-Aged,Graduation,Single,52247.25135379061,46,0,57,2,0,3,6,2,1,0,Not Converted,Very Low,Medium
8375,Campaign_A,56,Senior,PhD,Partner,55954.0,518,0,63,8,2,6,7,3,0,1,Not Converted,Medium,Medium
6853,Campaign_A,42,Middle-Aged,Master,Single,75777.0,1438,1,12,3,6,11,1,1,0,0,Converted,High,High
3076,Campaign_A,49,Middle-Aged,Graduation,Partner,66653.0,612,0,18,4,2,12,3,4,1,1,Not Converted,Medium,High
1012,Campaign_A,72,Senior,Graduation,Single,61823.0,884,0,26,8,2,10,7,4,0,1,Not Converted,Medium,High
6518,Campaign_A,73,Senior,PhD,Single,67680.0,606,0,8,7,3,8,5,1,0,1,Not Converted,Medium,High
4137,Campaign_A,76,Senior,Graduation,Partner,70666.0,1076,0,29,7,4,4,4,1,0,0,Not Converted,High,High
8082,Campaign_B,53,Middle-Aged,Graduation,Partner,25721.0,34,1,75,1,1,2,7,1,1,0,Converted,Very Low,Low
1386,Campaign_B,57,Senior,Graduation,Partner,32474.0,11,0,0,1,0,2,7,1,1,1,Not Converted,Very Low,Medium
9369,Campaign_A,45,Middle-Aged,2n Cycle,Single,88194.0,1274,1,19,11,10,10,5,1,0,1,Converted,High,High
4477,Campaign_B,66,Senior,Graduation,Partner,69096.0,653,0,4,5,2,10,4,1,0,1,Not Converted,Medium,High
1357,Campaign_B,54,Middle-Aged,Graduation,Partner,74854.0,1562,0,90,2,5,5,5,7,1,2,Not Converted,High,High
1402,Campaign_B,70,Senior,Master,Partner,66991.0,1253,0,1,4,8,6,3,3,0,0,Not Converted,High,High
10629,Campaign_B,51,Middle-Aged,2n Cycle,Partner,52247.25135379061,109,0,25,3,0,3,8,3,1,0,Not Converted,Low,Medium
6312,Campaign_A,65,Senior,Graduation,Partner,65031.0,863,0,29,10,3,13,7,4,0,1,Not Converted,Medium,High
8132,Campaign_B,49,Middle-Aged,PhD,Partner,60631.0,661,0,88,9,2,8,7,5,1,1,Not Converted,Medium,High
1050,Campaign_A,72,Senior,Graduation,Partner,28332.0,65,0,58,2,1,4,2,1,0,0,Not Converted,Very Low,Low
5846,Campaign_B,47,Middle-Aged,Graduation,Single,40246.0,13,0,68,1,0,2,6,1,1,0,Not Converted,Very Low,Medium
1859,Campaign_B,52,Middle-Aged,Master,Partner,75251.0,1890,1,34,7,6,5,5,1,0,0,Converted,High,High
7503,Campaign_B,48,Middle-Aged,Graduation,Single,75825.0,2209,1,40,5,8,9,4,0,0,0,Converted,High,High
10401,Campaign_A,48,Middle-Aged,2n Cycle,Partner,26326.0,18,0,12,0,0,3,3,1,0,0,Not Converted,Very Low,Low
1618,Campaign_B,59,Senior,Graduation,Partner,56046.0,692,1,9,10,1,8,8,2,0,0,Converted,Medium,Medium
3332,Campaign_A,39,Middle-Aged,Graduation,Single,29760.0,165,0,87,3,1,4,8,4,1,0,Not Converted,Low,Low
2261,Campaign_B,55,Middle-Aged,Graduation,Partner,26304.0,16,0,5,1,0,2,7,1,1,0,Not Converted,Very Low,Low
5346,Campaign_A,51,Middle-Aged,2n Cycle,Partner,23559.0,79,0,87,3,0,3,7,3,1,0,Not Converted,Very Low,Low
4119,Campaign_B,61,Senior,Master,Partner,38620.0,318,0,56,2,5,3,3,1,0,0,Not Converted,Low,Medium
535,Campaign_A,37,Middle-Aged,Graduation,Single,81361.0,778,0,18,3,10,13,1,1,0,0,Not Converted,Medium,High
5268,Campaign_A,64,Senior,Graduation,Partner,29440.0,56,0,95,1,0,4,7,2,1,1,Not Converted,Very Low,Low
273,Campaign_B,54,Middle-Aged,Master,Partner,36138.0,151,0,48,3,1,4,7,5,1,1,Not Converted,Low,Medium
4452,Campaign_A,67,Senior,Graduation,Single,50388.0,372,1,3,6,1,6,7,4,0,1,Converted,Low,Medium
8504,Campaign_B,51,Middle-Aged,Graduation,Partner,79593.0,1366,0,70,5,6,7,2,1,0,0,Not Converted,High,High
771,Campaign_B,57,Senior,Graduation,Partner,54178.0,194,0,79,2,2,5,2,1,0,1,Not Converted,Low,Medium
8996,Campaign_B,67,Senior,PhD,Partner,52247.25135379061,603,0,4,7,2,8,9,12,2,1,Not Converted,Medium,Medium
9235,Campaign_B,67,Senior,Graduation,Single,52247.25135379061,18,0,45,1,0,2,7,1,1,1,Not Converted,Very Low,Medium
5798,Campaign_B,51,Middle-Aged,Master,Partner,52247.25135379061,985,0,87,2,4,8,1,1,0,0,Not Converted,Medium,Medium
11178,Campaign_B,52,Middle-Aged,Master,Single,42394.0,32,0,69,1,0,3,7,1,1,0,Not Converted,Very Low,Medium
2230,Campaign_B,54,Middle-Aged,PhD,Partner,23626.0,43,0,84,3,1,3,5,3,1,0,Not Converted,Very Low,Low
7516,Campaign_B,41,Middle-Aged,Graduation,Partner,30096.0,45,0,30,2,0,3,6,1,1,0,Not Converted,Very Low,Medium
7247,Campaign_B,64,Senior,Graduation,Single,47916.0,606,0,72,7,4,6,6,5,0,1,Not Converted,Medium,Medium
11100,Campaign_B,52,Middle-Aged,Graduation,Single,51813.0,63,0,37,2,0,3,7,2,1,1,Not Converted,Very Low,Medium
4646,Campaign_B,73,Senior,2n Cycle,Partner,78497.0,978,0,44,5,7,12,2,1,0,0,Not Converted,Medium,High
3037,Campaign_A,41,Middle-Aged,PhD,Partner,50150.0,410,0,32,5,2,7,5,2,0,0,Not Converted,Low,Medium
1473,Campaign_A,64,Senior,2n Cycle,Single,47823.0,72,0,0,2,0,3,8,2,0,1,Not Converted,Very Low,Medium
1016,Campaign_B,65,Senior,PhD,Single,34554.0,55,0,43,2,0,3,6,2,0,1,Not Converted,Very Low,Medium
4518,Campaign_B,45,Middle-Aged,Graduation,Partner,85693.0,1169,0,59,9,5,11,5,2,0,1,Not Converted,High,High
9370,Campaign_B,79,Senior,PhD,Partner,65846.0,1120,0,68,6,3,6,4,1,0,0,Not Converted,High,High
8908,Campaign_B,65,Senior,Graduation,Partner,87195.0,1097,1,35,3,11,5,1,1,0,0,Converted,High,High
8373,Campaign_B,45,Middle-Aged,Basic,Partner,24594.0,29,0,94,1,0,3,5,1,1,0,Not Converted,Very Low,Low
7533,Campaign_B,60,Senior,Graduation,Partner,49096.0,187,0,15,4,1,4,7,4,1,1,Not Converted,Low,Medium
2683,Campaign_B,55,Middle-Aged,Graduation,Partner,52413.0,910,0,56,6,4,12,6,4,0,2,Not Converted,Medium,Medium
3629,Campaign_B,46,Middle-Aged,Graduation,Single,38557.0,145,0,17,3,1,3,7,2,1,0,Not Converted,Low,Medium
10991,Campaign_A,64,Senior,Master,Partner,89058.0,850,0,18,5,4,4,2,1,0,0,Not Converted,Medium,High
5077,Campaign_B,45,Middle-Aged,Graduation,Partner,77298.0,969,0,46,6,6,11,3,1,0,1,Not Converted,Medium,High
7431,Campaign_A,33,Young,PhD,Single,68126.0,1820,1,40,7,4,5,9,1,0,0,Converted,High,High
3267,Campaign_B,61,Senior,Master,Partner,57288.0,608,0,27,8,1,8,6,3,0,1,Not Converted,Medium,Medium
999,Campaign_B,33,Young,Graduation,Single,86037.0,730,1,95,6,7,11,3,1,0,0,Converted,Medium,High
9215,Campaign_A,44,Middle-Aged,PhD,Partner,43974.0,551,0,19,6,4,6,7,5,1,0,Not Converted,Medium,Medium
2286,Campaign_B,62,Senior,Graduation,Single,50785.0,114,0,27,2,1,3,6,2,1,1,Not Converted,Low,Medium
1592,Campaign_A,54,Middle-Aged,Graduation,Partner,90765.0,1724,0,25,4,6,5,1,0,0,0,Not Converted,High,Very High
367,Campaign_B,46,Middle-Aged,2n Cycle,Partner,36550.0,577,0,74,9,1,5,9,5,1,0,Not Converted,Medium,Medium
5234,Campaign_B,57,Senior,2n Cycle,Partner,30753.0,81,0,85,1,1,3,5,2,1,1,Not Converted,Very Low,Medium
9862,Campaign_A,55,Middle-Aged,Graduation,Partner,21918.0,33,0,37,2,0,3,6,2,1,0,Not Converted,Very Low,Low
9805,Campaign_B,71,Senior,Master,Partner,56129.0,660,0,65,6,2,10,4,4,0,1,Not Converted,Medium,Medium
6205,Campaign_A,57,Senior,Master,Single,32557.0,80,1,13,2,1,3,5,3,1,0,Converted,Very Low,Medium
8442,Campaign_B,39,Middle-Aged,Master,Partner,19510.0,30,0,63,1,0,3,7,2,2,0,Not Converted,Very Low,Low
7386,Campaign_A,48,Middle-Aged,Graduation,Single,30992.0,43,0,83,1,0,3,7,1,1,0,Not Converted,Very Low,Medium
7215,Campaign_A,41,Middle-Aged,Graduation,Single,101970.0,1135,1,69,6,8,13,2,0,0,0,Converted,High,Very High
1491,Campaign_B,59,Senior,2n Cycle,Partner,71488.0,559,0,87,3,4,7,1,2,0,0,Not Converted,Medium,High
11071,Campaign_B,40,Middle-Aged,Graduation,Single,79607.0,1923,1,37,3,6,6,1,1,0,0,Converted,High,High
3381,Campaign_A,71,Senior,Master,Partner,54348.0,90,0,51,2,0,4,6,2,1,1,Not Converted,Very Low,Medium
8268,Campaign_B,63,Senior,PhD,Partner,52247.25135379061,404,0,23,6,1,7,6,3,0,1,Not Converted,Low,Medium
11051,Campaign_B,68,Senior,PhD,Partner,77376.0,661,0,72,6,3,10,4,4,1,1,Not Converted,Medium,High
8026,Campaign_B,72,Senior,Graduation,Partner,62998.0,463,0,10,5,4,5,5,5,0,1,Not Converted,Low,High
433,Campaign_A,66,Senior,Master,Single,61331.0,632,0,42,11,1,6,8,5,1,1,Not Converted,Medium,High
9597,Campaign_A,55,Middle-Aged,Graduation,Partner,73448.0,725,0,10,7,2,9,4,1,0,0,Not Converted,Medium,High
1295,Campaign_A,61,Senior,Graduation,Partner,52247.25135379061,725,0,96,6,5,7,4,1,0,1,Not Converted,Medium,Medium
5290,Campaign_A,60,Senior,PhD,Partner,41551.0,279,0,51,5,1,5,8,5,1,1,Not Converted,Low,Medium
